from,to,relation,duration,status,health
baetzing,awo,4,99,1,2
baetzing,verdi,4,99,1,2
baetzing,ksba,4,99,1,2
baetzing,trotzdem,4,99,1,2
baetzing,tierschutzvereinaltenkirchen,4,99,1,2
baetzing,muellkindervonkairo,4,99,1,2
baetzing,familieundberufneuwied,4,99,1,1
baetzing,europahausmarienberg,4,99,1,2
baetzing,deutschedystoniegesellschaftrheinland,3,99,1,1
baetzing,kombagewerkschaft,4,99,1,2
baetzing,drk,3,99,1,1
baetzing,juniorsgkrheinlandpfalz,4,99,1,2
baetzing,europauniondeutschland,4,99,1,2
baetzing,spd,4,6,1,2
baetzing,foerdervereinfreiwilligefeuerwehrsteinbach,4,99,1,2
baetzing,thwbenzdorf,4,99,1,2
baetzing,moehnenvereinkasbach,4,99,1,2
baetzing,vdksteimel,4,99,1,1
baetzing,knappenkapelledaatal,4,99,1,2
baetzing,landfrauenaltenkirchen,4,99,1,2
baetzing,msselbsthilfegruppedierdorf,4,99,1,1
baetzing,naburengsdorf,4,99,1,2
baetzing,ruanda,4,99,1,2
baetzing,schuetzenvereinlb,4,99,1,2
baetzing,sgbetzdorf,4,99,1,2
baetzing,svadler,4,99,1,2
baetzing,rwvsiegen,4,99,1,2
baetzing,traegervereinnetzwerk,3,99,1,2
baetzing,dhammastiftung,2,99,1,2
baetzing,awobetreuungsvereinaltenkirchen,4,99,1,2
baetzing,kommissionfuerzeitgeschichte,3,2,1,2
baetzing,landeszentralefuergesundheitsfoerderungrheinlandpfalz,3,99,1,1
baetzing,reinermeutschstiftung,3,2,1,2
baetzing,stefanmorschstiftung,3,99,1,1
baetzing,bmg,1,2,2,1
baetzing,sportausschuss,4,2,2,2
baetzing,euausschuss,4,1,2,2
baetzing,bildungsausschuss,4,1,2,2
baetzing,menschenrechtsausschuss,4,1,2,2
baetzing,gesundheitsausschuss,4,3,2,1
baetzing,familienausschuss,4,3,2,2
baetzing,rechtsausschuss,4,2,2,2
kuehnmengel,ellyheussknappstiftung,3,99,1,1
kuehnmengel,hospitzvereinbruehl,3,99,1,1
kuehnmengel,museumsgesellschaftbruehl,3,99,1,2
kuehnmengel,kinderschutzbund,4,99,1,2
kuehnmengel,lebenshilfe,4,99,1,1
kuehnmengel,nachvorne,4,99,1,2
kuehnmengel,deutschesglockenmuseum,4,99,1,2
kuehnmengel,foerdervereinnationalparkeifel,4,99,1,2
kuehnmengel,verdi,4,99,1,2
kuehnmengel,trotzdem,4,99,1,2
kuehnmengel,aktionpsychischkranke,2,99,2,1
kuehnmengel,bvpg,3,99,2,1
kuehnmengel,ottobenecke,2,99,2,2
kuehnmengel,zdffernsehrat,2,99,2,2
kuehnmengel,bmg,1,2,2,1
kuehnmengel,euausschuss,4,2,2,2
kuehnmengel,innenausschuss,4,3,2,2
kuehnmengel,familienausschuss,4,2,2,2
kuehnmengel,gesundheitsausschuss,4,6,2,1
kuehnmengel,gemeinsamerausschuss,4,2,2,2
kuehnmengel,vermittlungsausschuss,4,1,2,2
kuehnmengel,spd,4,6,1,2
kuehnmengel,finanzausschuss,4,2,2,2
schwanitz,spd,4,6,1,2
schwanitz,bmg,1,2,2,1
schwanitz,technischehochschulezwickau,1,99,2,2
schwanitz,neuesforum,4,99,2,2
schwanitz,seeheimerkreis,4,99,1,2
schwanitz,gbs,4,2,1,2
schwanitz,ifw,4,2,1,2
schwanitz,bmwi,2,2,2,2
schwanitz,fes,4,99,1,2
schwanitz,vereinvogtland,4,99,1,2
schwanitz,seakularesozialdemokratinnen,4,99,1,2
schwanitz,fachschulefueroekonomie,1,3,2,2
schroeder,senatsverwaltungfuerarbeitsozialesundfrauenberlin,1,1,2,1
schroeder,ministeriumfuersozialesundgesundheitthueringen,1,2,2,1
schroeder,ministeriumfuerarbeitnrw,1,3,2,1
schroeder,bmg,1,3,2,1
schroeder,gesamthochschuleduisburg,1,99,2,2
schroeder,wuwien,1,99,2,2
schroeder,unitrier,1,99,2,2
schroeder,fraunhoferisi,1,99,2,2
schroeder,rhoenklinikum,1,1,2,1
schroeder,pkv,1,99,2,1
schroeder,spd,4,6,1,2
schroeder,gematik,99,99,2,1
schmidt,nato,4,4,1,2
schmidt,lebenshilfe,3,3,1,1
schmidt,auswaertigekulturundbildungspolitik,4,1,1,1
schmidt,auswaertigerausschuss,4,1,1,2
schmidt,ausschussfuerkulturundmedien,4,1,1,2
schmidt,kunstbeirat,4,1,1,2
schmidt,spd,4,4,1,2
schmidt,bmg,1,2,2,1
caspersmerk,dhbw,6,4,1,2
caspersmerk,totolottogmbh,1,2,2,2
caspersmerk,bmg,1,3,2,1
caspersmerk,spd,4,6,2,2
caspersmerk,kommunalpolitischesforschungsinstitut,2,4,2,2
caspersmerk,hochschulefueroeffentlicheverwaltungkehl,2,99,99,1
caspersmerk,landkreisloerrach,2,1,1,2
caspersmerk,kneippbund,2,3,2,1
caspersmerk,robertboschstiftung,4,99,99,1
caspersmerk,herzzentrumbadkrozingen,2,99,99,1
,,,,,
kapferer,fdp,4,99,1,2
kapferer,ministeriumfuerwirtschaftarbeitundverkehrnrw,8,1,2,2
kapferer,jadeweserport,2,99,2,2
kapferer,nbank,2,99,2,2
kapferer,bmwi,1,2,2,2
kapferer,bmg,1,2,2,1
kapferer,hertztransmission,1,1,1,2
kapferer,oecd,1,1,2,2
kapferer,bdew,1,2,2,2
kapferer,dena,2,1,2,2
kapferer,treuhandanstalt,1,99,2,2
kapferer,niedersaechsischestaatskanzlei,1,99,2,2
roesler,fdp,4,99,1,2
roesler,weltwirtschaftsforum,1,2,2,2
roesler,hainancihangcharityfoundation,1,1,2,1
roesler,kfw,2,1,2,2
roesler,robertenkestiftung,2,2,2,1
roesler,zentralkomiteederdeutschenkatholiken,2,99,99,2
