id,label,sex,type,type_detail,period,age,birth,education,education_background,background,party,state,function,health_sector,health_category
schmidt,Ulla Schmidt,1,1,99,1,6,2,8,4,1,f,10,1,99,99
caspersmerk,Marion Caspers-Merk,1,1,99,1,5,3,7,2,1,2,1,2,99,99
schwanitz,Rolf Schwanitz,2,1,99,1,5,3,7,1,2,2,13,2,99,99
schroeder,Dr. Klaus Theo Schröder,2,1,99,1,8,2,6,1,2,2,10,2,99,99
baetzing,Sabine Bätzing,1,1,99,1,3,5,5,5,2,2,11,3,99,99
kuehnmengel,Helga Kühn-Mengel,1,1,99,1,6,2,6,3,1,2,10,4,99,99
awo,Arbeiterwohlfahrt Bundesverband,99,2,3,99,99,99,99,99,99,99,99,99,2,99
verdi,Dienstleistungsgewerkschaft ver.di,99,2,3,99,99,99,99,99,99,99,99,99,2,99
ksba,Kinderschutzbund Altenkirchen e.V. ,99,2,3,99,99,99,99,99,99,99,99,99,2,99
trotzdem,Trotzdem e.V. ,99,2,3,99,99,99,99,99,99,99,99,99,2,99
tierschutzvereinaltenkirchen,Tierschutzverein Altenkirchen e.V. ,99,2,3,99,99,99,99,99,99,99,99,99,2,99
muellkindervonkairo,Müllkinder von Kairo e.V. ,99,2,3,99,99,99,99,99,99,99,99,99,1,4
familieundberufneuwied,Familie und Beruf e.V. (Neuwied),99,2,3,99,99,99,99,99,99,99,99,99,2,99
europahausmarienberg,Europa-haus Marienberg,99,2,5,99,99,99,99,99,99,99,99,99,2,99
deutschedystoniegesellschaftrheinland,Deutsche Dystoniegesellschaft Rheinland,99,2,3,99,99,99,99,99,99,99,99,99,1,4
kombagewekschaft,Komba,99,2,3,99,99,99,99,99,99,99,99,99,2,99
drk,Deutsches Rotes Kreuz,99,2,3,99,99,99,99,99,99,99,99,99,1,4
juniorsgkrheinlandpfalz,Junior SGK in Rheinland-Pfalz (Gründungsmitglied),99,2,3,99,99,99,99,99,99,99,99,99,2,99
foerdervereinfreiwilligefeuerwehrsteinbach,Förderverein der Freiw. Feuerwehr Steinebach e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
thwbenzdorf,Helferverein THW Betzdorf,99,2,3,99,99,99,99,99,99,99,99,99,2,99
moehnenvereinkasbach,Kasbacher Möhnenverein,99,2,3,99,99,99,99,99,99,99,99,99,2,99
vdksteimel,VdK Steimel,99,2,3,99,99,99,99,99,99,99,99,99,1,4
knappenkapelledaatal,Daadetaler Knappenkapelle e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
landfrauenaltenkirchen,"Landfrauen Altenkirchen,",99,2,3,99,99,99,99,99,99,99,99,99,2,99
msselbsthilfegruppedierdorf,MS Selbsthilfegruppe Dierdorf e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
naburengsdorf,Nabu Rengsdorf,99,2,3,99,99,99,99,99,99,99,99,99,2,99
ruanda,Ruanda e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
schuetzenvereinlb,Schützenverein Leuzbach-Bergenhausen,99,2,3,99,99,99,99,99,99,99,99,99,2,99
sgbetzdorf,SG 06 Betzdorf,99,2,3,99,99,99,99,99,99,99,99,99,2,99
svadler,SV Adler 09 Niederfischbach,99,2,3,99,99,99,99,99,99,99,99,99,2,99
rwvsiegen,Richard-Wagner-Verband Siegen e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
traegervereinnetzwerk,"Trägerverein Netzwerk Berlin e.V. Berlin,",99,2,3,99,99,99,99,99,99,99,99,99,2,99
dhammastiftung,"Dhamma-Stiftung, Birkenbeul-Weißenbrüchen",99,2,5,99,99,99,99,99,99,99,99,99,2,99
kommissionfuerzeitgeschichte,Kommission für Zeitgeschichte e.V. Bonn,99,2,3,99,99,99,99,99,99,99,99,99,2,99
landeszentralefuergesundheitsfoerderungrheinlandpfalz,Landeszentrale für Gesundheitsförderung Rheinland-Pfalz,99,2,4,99,99,99,99,99,99,99,99,99,1,5
reinermeutschstiftung,Reiner Meutsch Stiftung,99,2,5,99,99,99,99,99,99,99,99,99,2,99
stefanmorschstiftung,Stefan Morsch Stiftung Hilfe für Leukämie- und Tumorkranke ,99,2,5,99,99,99,99,99,99,99,99,99,1,4
awobetreuungsvereinaltenkirchen,AWO Betreuungsverein Altenkirchen,99,2,3,99,99,99,99,99,99,99,99,99,2,99
aworheinerft,AWO Regionalverband Rhein-Erft Kreis & Euskirchen e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
awomittelrhein,AWO Bezirksverband Mittelrhein e.V. ,99,2,3,99,99,99,99,99,99,99,99,99,2,99
fgderkoerperbehindertemensch,"Forschungsgemeinschaft ""Der Körperbehinderte Mensch""",99,2,3,99,99,99,99,99,99,99,99,99,1,4
zentrum für fruehbehandlung und fruehfoerderung,Zentrum für Frühbehandlung und Frühförderung Köln e.V. ,99,2,3,99,99,99,99,99,99,99,99,99,1,4
institutfuersaundsp,Institut für Sozialarbeit und Sozialpädagogik e.V. ,99,2,3,99,99,99,99,99,99,99,99,99,2,99
ellyheussknappstiftung,"Elly Heuss-Knapp Stiftung – Deutsches Müttergenesungswerk, Berlin",99,2,5,99,99,99,99,99,99,99,99,99,1,4
hospitzvereinbruehl,Hospizverein Brühl e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
museumsgesellschaftbruehl,Brühler Museumsgesellschaft e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
kinderschutzbund,Kinderschutzbund e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
lebenshilfe,Lebenshilfe e.V.,99,2,3,99,99,99,99,99,99,99,99,99,1,4
nachvorne,Nach Vorn e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
deutschesglockenmuseum,Deutsches Glockenmuseum,99,2,3,99,99,99,99,99,99,99,99,99,2,99
foerdervereinnationalparkeifel,Förderverein Nationalpark Eifel,99,2,3,99,99,99,99,99,99,99,99,99,2,99
aktionpsychischkranke,Aktion Psychisch Kranke e.V. (APK),99,2,3,99,99,99,99,99,99,99,99,99,1,4
bvpg,Bundesvereinigung Prävention und Gesundheitsförderung e.V. (BVPG),99,2,3,99,99,99,99,99,99,99,99,99,1,4
ottobenecke,"Otto Benecke Stiftung, Bonn",99,2,5,99,99,99,99,99,99,99,99,99,2,99
technischehochschulezwickau,TH Zwickau,99,2,3,99,99,99,99,99,99,99,99,99,2,99
neuesforum,Neues Forum,99,2,3,99,99,99,99,99,99,99,99,99,2,99
seeheimerkreis,Seeheimer Kreis,99,2,3,99,99,99,99,99,99,99,99,99,2,99
gbs,Giordano Bruno Stiftung,99,2,5,99,99,99,99,99,99,99,99,99,2,99
ifw,Institut für Weltanschauungsrecht,99,2,3,99,99,99,99,99,99,99,99,99,2,99
fes,Friedrich-Ebert-Stiftung,99,2,3,99,99,99,99,99,99,99,99,99,2,99
vereinvogtland,Verein Vogtland 89 e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
seakularesozialdemokratinnen,Säkulare Sozialdemokrat_innen,99,2,3,99,99,99,99,99,99,99,99,99,2,99
fachschulefueroekonomie,Fachschule für Ökonomie Plauen,99,2,3,99,99,99,99,99,99,99,99,99,2,99
gesamthochschuleduisburg,Gesamthochschule Duisburg,99,2,3,99,99,99,99,99,99,99,99,99,2,99
