id,label,sex,type,type_detail,age,birth,education,education_background,background,party,state,function,health_sector,health_category,
7000eichen,7000 Eichen ,99,2,3,99,99,99,99,99,99,99,99,2,99,
absatzfoerderungsfond,Absatzfoerderungsfonds der deutschen Land- und Ernaehrungswirtschaft,99,2,4,99,99,99,99,99,99,99,99,2,99,
aktionpsychischkranke,Aktion Psychisch Kranke e.V. (APK),99,2,3,99,99,99,99,99,99,99,99,1,4,
aktionsbuendnisschmerzfreiestadtmuenster,Aktionbuendnis „Schmerzfreie Stadt Münster“,99,2,3,99,99,99,99,99,99,99,99,1,4,
akzo,Firma AKZO,99,2,2,99,99,99,99,99,99,99,99,2,99,
alfa,Aktion Lebensrecht für Alle (AlfA),99,2,3,99,99,99,99,99,99,99,99,1,5,
apkv,Allianz Private Krankenversicherung,99,2,2,99,99,99,99,99,99,99,99,1,5,
archenoah,Arche Noah - Foerderverein Betreutes Wohnen dauerbeatmeter Kinder e.V.,99,2,3,99,99,99,99,99,99,99,99,1,5,
aupu,AUPU Versorgungswerk e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
ausschussarbeitsoziales,Ausschuss fuer Arbeit und Soziales,99,2,4,99,99,99,99,99,99,99,99,2,99,
ausschussentwicklung,Ausschuss fuer wirtschaftliche Zusammenarbeit und Entwicklung,99,2,4,99,99,99,99,99,99,99,99,2,99,
ausschussernaehrunglandwirtschaft,Ausschuss fuer Ernaehrung und Landwirtschaft,99,2,4,99,99,99,99,99,99,99,99,2,99,
ausschussfuerkulturundmedien,Ausschuss fuer Kultur und Medien,99,2,4,99,99,99,99,99,99,99,99,1,5,
ausschusstourismus,Ausschuss fuer Tourismus,99,2,4,99,99,99,99,99,99,99,99,2,99,
auswaertigekulturundbildungspolitik,Auswaertige Kultur- und Bildungspolitik,99,2,4,99,99,99,99,99,99,99,99,1,5,
auswaertigerausschuss,Auswaertiger Ausschuss,99,2,4,99,99,99,99,99,99,99,99,1,5,
awo,Arbeiterwohlfahrt Bundesverband,99,2,3,99,99,99,99,99,99,99,99,2,99,
awobetreuungsvereinaltenkirchen,AWO Betreuungsverein Altenkirchen,99,2,3,99,99,99,99,99,99,99,99,2,99,
awomittelrhein,AWO Bezirksverband Mittelrhein e.V. ,99,2,3,99,99,99,99,99,99,99,99,2,99,
aworheinerft,AWO Regionalverband Rhein-Erft Kreis & Euskirchen e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
baetzing,Sabine Baetzing,1,1,99,3,5,5,5,2,2,11,3,99,99,
bafin,Bundes­­anstalt fuer Finanz­dienst­leistungsaufsicht,99,2,4,99,99,99,99,99,99,99,99,2,99,
bahr,Daniel Bahr,2,1,99,3,5,7,1,1,5,10,1,99,99,
basf,BASF,99,2,2,99,99,99,99,99,99,99,99,1,1,
bayerischesroteskreuz,Bayerisches Rotes Kreuz Kreisverband Rosenheim,99,2,3,99,99,99,99,99,99,99,99,1,4,
bayrischelandeszentrale,Bayrische Landeszentrale fuer neue Medien,99,2,3,99,99,99,99,99,99,99,99,2,99,
bayrischerbauernverband,Bayrischer Bauernverband,99,2,3,99,99,99,99,99,99,99,99,2,99,
bayrischeversicherungskammer,Bayrische Versicherungskammer,99,2,3,99,99,99,99,99,99,99,99,2,99,
bdew,Bundesverband der Energie- und Wasserwirtschaft e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
bertelsmannstiftung,Bertelsmann Stiftung,99,2,5,99,99,99,99,99,99,99,99,1,4,
bildungsausschuss,"Ausschuss fuer Bildung, Forschung und Technikfolgenabschaetzung",99,2,4,99,99,99,99,99,99,99,99,2,99,
bkf,Bundesverband konduktive Foerderung nach Petoe,99,2,3,99,99,99,99,99,99,99,99,1,4,
bmf,Bundesministerium fuer Finanzen,99,2,4,99,99,99,99,99,99,99,99,2,99,
bmg,Bundesgesundheitsministerium,99,2,4,99,99,99,99,99,99,99,99,1,5,
bmwi,Bundesministerium fuer Wirtschaft,99,2,4,99,99,99,99,99,99,99,99,2,99,
bnev,Bundesverband Niere e.V.,99,2,3,99,99,99,99,99,99,99,99,1,4,
